,title,company_name,location,description,posted_since
0,R&I - Stage Digital Science/Data Science/Machine Learning -...,L'Oreal,Paris (75),"A pourvoir entre Janvier et Juillet 2022 pour 6 mois, situé en région parisienne.
SUJET 1: Construction d'approche data science pour le profiling biologique d…",il y a 30+ jours
1,Internship in Computer Vision and Machine Learning,EyeGauge,Paris 8e (75),"You will be in charge of implementing and testing algorithms for various machine learning tasks.
As a machine learning engineer intern, you will work on…",il y a 7 jours
2,Machine Learning / AI / Computer Vision Intern – Comparative...,Schlumberger,Clamart (92),"When used in classification tasks they cause a bias in a decision boundary for machine learning and deep learning-based solutions, resulting in a smaller…",il y a 7 jours
3,Machine Learning Intern,Capital Management Fund,Paris (75),"We are looking for a trainee to explore with us opportunities to improve our machine learning execution systems.
Capacity to work with very large data sets.",il y a 13 jours
4,Research internship in Machine Learning H/F,CEA - Commissariat à l'Energie Atomique,Palaiseau (91),"Practical experience on at least one Deep Learning model (internship, research projects, etc.).
Fundamental research in the physical sciences and life sciences.",il y a 14 jours
5,Full Stack Machine Learning intern,Kili Technology,Paris 8e (75)•Télétravail,"A dedicated time of one to two days per week for your internship subject.
The adoption of AI algorithms in the industry is now widespread, yet, applications of…",il y a 5 jours
6,RESEARCH INTERNSHIP IN MACHINE LEARNING H/F,CEA,Palaiseau (91),"Practical experience on at least one Deep Learning model (internship, research projects, etc.).
3D Point Cloud Perception with Transformer Models.",il y a 13 jours
7,Machine Learning / AI / Hybrid Models Intern – Physics-infor...,Schlumberger,Clamart (92),The intern will be in charge of defining the best strategy and methodology to provide a new answer product based on data science technologies (statistics and…,il y a 7 jours
8,"Data Scientist (all seniority levels, incl. final year inter...",McKinsey & Company,Paris (75),"Good knowledge of statistical approaches including advanced machine learning techniques (e.g. data science, support vector machines, neural nets, deep learning,…",il y a 6 jours
9,Data Scientist H/F - Internship,Monk,Paris 6e (75)•Télétravail,"Good knowledge of usual machine learning algorithms.
You have already worked on machine learning projects (+++);
Basic knowledge of deep learning.",il y a 3 jours
10,Stage - Data Scientist - Construction de modèles statistique...,Orange Business Services,La Défense (92),"Compréhension et analyse descriptive des données.
Compréhension du contexte métier autour du modèle construit.
Python, R, Microsoft Azure, Pack Office.",il y a 30+ jours
11,Stage data mining & machine learning pour analyser et prédir...,Orange,Lannion (22),"De formation supérieure, vous avez une expérience dans le data mining et le machine learning.
La connaissance de librairies de machine learning (pandas, scikit…",il y a 5 jours
12,Junior Data Scientist H/F - Biomass (6-month internship),Kayrros,Paris 9e (75),"Design, implement and test machine learning algorithms.
You are very interested in deep learning, machine learning applied to time series, image and signal…",Aujourd'hui
13,2021/2022 - Internship opportunities in Data Engineer/Machin...,Amadeus,Nice (06),"You will gain a first experience in Data Science and/or Machine Learning, according to your studies and skills.
Have a support in relocation to Nice offices.",Publiée à l'instant
14,Internship: Security for Distributed Machine Learning F/M,SAP,Mougins (06),"Security and privacy of machine learning.
This internship is based in the SAP Labs France Research Lab, in Sophia-Antipolis.",il y a 11 jours
15,2021/2022 - Internship opportunities in Data Engineer/Machin...,Amadeus,Nice (06),"You will gain a first experience in Data Science and/or Machine Learning, according to your studies and skills.
Have a support in relocation to Nice offices.",Publiée à l'instant
16,Internship: Security for Distributed Machine Learning F/M,SAP,Mougins (06),"Security and privacy of machine learning.
This internship is based in the SAP Labs France Research Lab, in Sophia-Antipolis.",il y a 11 jours
17,"Student Researcher, 2022",Google,Paris (75),Currently enrolled in a full-time degree program and returning to the program after completion of the internship.,il y a 7 jours
18,Data Scientist End-of-Studies Internship - Paris (France) (H...,SESAMm,Paris (75),"Experience: a first internship in quantitative analysis or Machine learning is a plus;
Strong interest in complex Machine learning models (supervised &…",il y a 19 jours
19,Research Internship Python Deep learning Text segmentation -...,My Script,Nantes (44),"You have a knowledge of machine learning methods and neural networks.
You have a knowledge of the Python programming language and a neural network learning…",il y a 30+ jours
20,"Research Intern, 2022",Google,Paris (75),"Returning to your degree after completing the internship.
Experience with research from previous internships, full-time industry experience, personal projects,…",il y a 22 jours
21,Research Data Science Intern - Active Learning,Dataiku,Paris (75),"Good understanding of parametric machine learning algorithms and their optimisation.
This is why we propose in this internship to try, and potentially improve,…",il y a 30+ jours
22,Deep Learning for Combinatorial Optimization - Internship,NAVER LABS Europe,Grenoble (38),"Such paradigm, commonly known as Neural Combinatorial Optimization (NCO) includes data-driven approaches to heuristic learning, using both supervised and…",il y a 30+ jours
23,IT Internship,Procter & Gamble,Paris (75),"Support and collaborate with Data Scientists developing sophisticated machine learning and statistical models.
Proficiency in English and in French.",il y a 7 jours
24,Data Scientist (End-of-studies Internship),Shift Technology,Paris (75),"R&D for product development and innovation (through machine learning, image analysis, NLP, trend analysis, chatbots…).
You are comfortable dealing with clients.",il y a 30+ jours
25,Internship / Stage - Computer Vision & Machine Learning,Seven Sensing Software,Paris (75),This is a quite exploratory subject that requires strong skills in computer vision and 3D geometry as well as in machine/deep learning.,il y a 18 jours
26,Internship - Data Scientist,Numberly,Paris 9e (75)•Télétravail,"You will take part in elaboration, optimization and development of machine-learning algorithms, to improve the efficiency of numberly’s Relationship Marketing…",il y a 12 jours
27,Math & Algorithms Internship in Paris Saclay,NOKIA,Nozay (91),"Experiments with methods at the frontier of causal inference and machine learning.
Develop a working proof-of-concept sparse machine learning model.",il y a 21 jours
28,Stage - Développement en machine learning pour économie d'én...,Orange,Lannion (22),"De formation niveau Bac+5 (école d'ingénieur, école informatique ou université) avec une spécialisation dans le machine learning.",il y a 30+ jours
29,Software Engineer 6 months Internship,Salesforce,Paris (75)+ 1 lieu,"The ESX team within Salesforce is eager to work with an enthusiastic intern with a passion for software development.
This makes CI/CD possible again.",il y a 30+ jours
30,Incremental Learning for Scene Analysis H/F,CEA - Commissariat à l'Energie Atomique,Palaiseau (91),"Keywords: Object detection, semantic segmentation, deep learning, incremental learning, knowledge distillation.
Nuclear energy (fission and fusion),.",il y a 4 jours
31,INCREMENTAL LEARNING FOR SCENE ANALYSIS H/F,CEA,Palaiseau (91),"Keywords: Object detection, semantic segmentation, deep learning, incremental learning, knowledge distillation.
Incremental Learning for Scene Analysis H/F.",il y a 4 jours
32,Research internship Deep learning Knowledge Distillation - F...,My Script,Nantes (44),"Machine learning, deep learning, knowledge distillation, transfer learning, natural language processing.
You have a knowledge of machine learning methods and…",il y a 30+ jours
33,Class-incremental Learning - Internship,NAVER LABS Europe,Grenoble (38),"Class-incremental learning is a branch of continual learning research, whose goal is enabling machine learning models with the required tools to learn new…",il y a 17 jours
34,Junior Analyst H/F - Emissions (6 months),Kayrros,Paris 9e (75),"You are dynamic, curious, eager to see the energy industry in ways you would have not thought of, and interested in machine learning, artificial intelligence,…",il y a 5 jours
35,Computer Vision Engineer INTERNSHIP (6 months),Storelift,Ivry-sur-Seine (94),"You have good programming skills in Python and experience with machine learning frameworks such as PyTorch, TensorFlow, or TensorRT.
Boxy is open 24/7.",il y a 30+ jours
36,Graphics Research Intern - Machine Learning,Unity Technologies,Grenoble (38),"As a machine learning intern, you will work under the supervision of our researchers within the Unity Labs team located in Grenoble, France.",il y a 30+ jours
37,Junior Data Scientist H/F - Biomass (6 months),Kayrros,Paris 9e (75),"Design, implement and test machine learning algorithms.
You are very interested in deep learning, machine learning applied to time series, image and signal…",Aujourd'hui
38,CNRS Internship – Photoluminescence Imaging,L’INSTITUT PHOTOVOLTAÏQUE D’ÎLE-DE-FRANCE (IPVF),Palaiseau (91),"Strong background in mathematics, image processing, and machine learning.
This 6-months internship position, carried out in collaboration between the IPVF-UMR…",il y a 13 jours
39,Internship: Energy Efficient Next-Gen Communication Systems,NOKIA,Nozay (91),"This internship focuses on exploring various techniques, possibly machine-learning based, to improve the energy efficiency of 6G wireless communication networks…",il y a 5 jours
40,Data Science Internship Program,Institut des Systèmes Complexes de Paris...,Paris (75),"Work on supervised learning algorithms for classifications and predictions.
Work on un-supervised learning algorithms for topic detection.",il y a 30+ jours
41,Software Developer Intern,LIFENTO,Paris 2e (75)•Télétravail temporaire,"Aequam Capital is a growing asset manager specialised in risk premia, or risk premia.
Our DNA is based on 4 essential pillars :
Durée du contrat : 6 mois.",il y a 12 jours
42,Data Science Master internship,Université Paris Est Créteil Val de Marne,Créteil (94),"Has done M1 in computer science, applied mathematics or electrical engineering, with a focus on machine learning.
Deep learning-based approach will be proposed.",il y a 22 jours
43,Data Scientist,Descartes Underwriting,Puteaux (92),"Proficient in statistics, applied mathematics and machine learning methods.
Conducting research on the modelling of climate risks and machine learning methods.",il y a 9 jours
44,Business Intelligence Intern - France,Amazon France Logistique SAS,Paris (75),"You will also apply your learning into production database establishment/maintenance, KPI dashboard automation, large-scale data analytics and machine-learning…",il y a 21 jours
45,Electronic Trading Associate - Expert Off Cycle Intern Progr...,Barclays,Paris (75),"Our quants are highly specialised quantitative traders, researchers, and data scientists responsible for developing, deploying and running algorithmic trading…",il y a 30+ jours
46,Application Data Engineer Trainee - Machine Learning (h/f),RG PI SAS,Grenoble (38),"_*RG PI*, an *ARaymond* internal start-up incubator company, _ _hosting and supporting transversal innovation project with high stakes _ _is proposing an _…",il y a 7 jours
47,Reasearch intern - Allocation under uncertainty,Capital Management Fund,Paris (75),"Theoretical knowledge and understanding of the Machine learning methods.
This will lead the student to study the core principles of Bayesian Machine learning…",il y a 30+ jours
48,Internship opportunities in Software Development Frontend,Amadeus,Nice (06),Being part of a team where you will participate to program software to facilitate the journey for millions of travellers every year.,Publiée à l'instant
49,Nokia Bell Labs Intern - AI Research Lab,NOKIA,Nozay (91),"The AI Research Lab at Bell Labs Solutions Research invites applications for intern positions in machine learning, mathematics, networking, modeling and…",il y a 21 jours
50,LEARNING HYBRID AUTOMATA MODELS H/F,CEA,Palaiseau (91),Using machine learning methods such as [4] combined with black box testing and allowing to acquire faithful models while ensuring coverage of the system…,il y a 21 jours
51,Advanced Volume Rendering Internship,Avatar Medical,Paris 15e (75),"The successful candidate will join a complementary team of software engineers, physicists and machine learning specialists.",il y a 30+ jours
52,"Research Intern, PhD (FAIR) - AI",Meta,Paris (75),"Publications or experience in fields related to in machine learning, AI, computer vision, natural language processing, computational neuroscience, optimisation,…",il y a 30+ jours
53,Quant Research Intern,Euronext,Paris (75),"Solid knowledge of statistics and advanced machine learning.
Conduct research on trading algorithms of market participants.",il y a 4 jours
54,Development and Evaluation of Machine Learning algorithms in...,CEA - Commissariat à l'Energie Atomique,Grenoble (38),"In this internship, the main objective is to implement an Artificial Intelligence in hardware to have a detection mechanism inside the microprocessor of the IoT…",il y a 3 jours
55,Junior Data Scientist H/F - 3D (6 months),Kayrros,Paris (75),"Design, implement and test machine learning algorithms.
You are very interested in deep learning, machine learning applied to time series, image and signal…",Aujourd'hui
56,DEVELOPMENT AND EVALUATION OF MACHINE LEARNING ALGORITHMS IN...,CEA,Grenoble (38),"In this internship, the main objective is to implement an Artificial Intelligence in hardware to have a detection mechanism inside the microprocessor of the IoT…",il y a 3 jours
57,Junior Analyst H/F - Carbon Watch (6 months),Kayrros,Paris 9e (75),"A Junior Analyst M/F (6 months).
Challenge the data and draw links between the products (and associated teams).",il y a 4 jours
58,Data Engineer,Lydia Solutions,Paris 4e (75)•Télétravail temporaire,"Design a machine learning production pipeline to monitor and deploy ML models.
You have had an experience (internship or full-time) in a data engineering or…",il y a 6 jours
59,Stage - Data Analyst (F/H),Orange,Châtillon (92),"Sous la responsabilité du manager, vous collaborez aux activités de l’équipes autour de la data visualization et de l’analyse des métriques de DATA and AI (mise…",il y a 15 jours
60,Business Development Intern (H/F),SESAMm,Paris (75)•Télétravail,"Specialization: creation of innovative analytics and alternative data – we analyze in real time billions of messages, articles and posts from millions of data…",il y a 18 jours
61,Stage Data Scientist H/F - Yves Rocher 1,Groupe Yves Rocher,Issy-les-Moulineaux (92),"Personalization/optimization of customer experience (machine learning).
Stage Data Scientist H/F - Yves Rocher 1.
Programming experience in Python or R.",il y a 30+ jours
62,Stage - Portage d'algorithme d'IA/Deep learning en embarqué...,Orange,Valbonne (06),"Compétences et qualités personnelles recherchées : Connaissances en deep learning et machine learning.
Votre travail consistera donc au portage vers l’embarqué…",il y a 30+ jours
63,Product Data Scientist - Intern,Criteo,Paris 9e (75),"Available for internship of minimum 6 months.
We help Criteo validate and evolve our products while exploring strategic game-changers to vault Criteo ahead in a…",il y a 30+ jours
64,Junior Product Analyst M/F (6 months),Kayrros,Paris 9e (75),You are looking for an internship as part of a master of Engineering/Science from a top tier school/university.,Aujourd'hui
65,Internship Bioscientific Literature Data Scientist - 6 month...,Lesaffre,Marcq-en-Barœul (59),"Experience in natural language processing, semantic enrichment, ontologies, data mining or machine learning/AI is a plus.",il y a 30+ jours
66,Software Engineer Intern - Backend or Fullstack,Criteo,Paris 9e (75),"The Product Engineering team builds the products that make Criteo tick: from developing industry leading machine learning techniques, to building high scale/low…",il y a 30+ jours
67,Stage - Data Scientist F/H,Orange France,Arcueil (94),"Analyser et exploiter tous types de données (CRM, digitales, open source, verbatim…) afin de construire le jeu de données nécessaire à la modélisation.",il y a 30+ jours
68,Junior Energy Analyst H/F (6-month internship),Kayrros,Paris 9e (75),"You will integrate a Product team charged with the inception and development of innovative approaches to measure, estimate, or predict market fundamentals…",il y a 24 jours
69,Analysis of Clients' Rentability in a Distributed Federated...,CEA - Commissariat à l'Energie Atomique,Palaiseau (91),"The goal of this internship is to analyze the rentability of users in a federated learning setup.
Some medical services also use machine learning for medical…",il y a 21 jours
70,Data Science Intern - Portuguese speaking (End-of-studies In...,Shift Technology,Paris (75),"R&D for product development and innovation (through machine learning, image analysis, NLP, trend analysis, chatbots…).
You are comfortable dealing with clients.",il y a 30+ jours
71,ANALYSIS OF CLIENTS' RENTABILITY IN A DISTRIBUTED FEDERATED...,CEA,Palaiseau (91),"The goal of this internship is to analyze the rentability of users in a federated learning setup.
Some medical services also use machine learning for medical…",il y a 21 jours
72,Stage - Innovation et Conception Sécurité F/H,Orange,Châtillon (92),"Afin d’automatiser au mieux les processus d’anonymisation et de pseudonymisation, vous étudiez comment les intégrer au MLOPs (Machine Learning Operations).",il y a 3 jours
73,Junior Analyst H/F - E&P Intelligence (6 months),Kayrros,Paris 9e (75),"As an Energy Analyst, your role will be to collaborate with these technical roles to make decisions and suggest ideas about the acquisition, cleaning and…",il y a 4 jours
74,Internship: Detection and Assessment of Open-Source Vulnerab...,SAP,Mougins (06),"This internship is based in the SAP Labs France Research Lab, in Sophia-Antipolis.
The goal of the internship is to design and develop key improvements for…",il y a 6 jours
75,Data and Market Analyst H/F (6 months),Kayrros,Paris 9e (75),You are looking for an internship as part of a master of Engineering/Science from a top tier school/university.,Aujourd'hui
76,Internship- Cyber Threat Intelligence: Identifying Hardcoded...,SAP,Mougins (06),"Train a machine learning system to recognize specific content.
SAP’s vision to secure business is built on 3 ideals: Zero-Vulnerability, to harden the software…",il y a 26 jours
77,Intern machine learning for Analog Design Optimization M/F,STMicroelectronics,Crolles (38),"Stagiaire 5 à 6 mois 3e année X-politechnique, SupTelecom, ENS, Phelma, Ensima, Esisar.",il y a 30+ jours
78,Research Engineer (Applied RL),InstaDeep,Paris (75),Develop novel algorithms and research ideas in fields such as reinforcement learning and operational research with machine learning.,il y a 30+ jours
79,Research Intern in Artificial Intelligence and Natural Langu...,SAP,Mougins (06),"Good knowledge of data science and machine learning algorithms.
Application of the recent approaches based on language models and transformers for NLP and multi…",il y a 15 jours
80,Internship: Knowledge Management & Communication (6 months i...,Shippeo,Paris (75),"Our proprietary, machine-learning ETA algorithm accurately calculates arrival times allowing shippers to quickly anticipate problems, proactively alert end…",il y a 30+ jours
81,Junior Analyst H/F - Solutions (6 months),Kayrros,Paris 9e (75),"Experience using pandas, machine learning frameworks, geospatial tools (geopandas, rasterio, GDAL etc.) and Docker would be useful.",il y a 4 jours
82,Internship opportunities in Software Development Backend,Amadeus,Nice (06),Being part of a team where you will participate to program software to facilitate the journey for millions of travellers every year.,Publiée à l'instant
83,Product Manager intern - Final year Internship (H/F),Shippeo,Paris (75),"Shippeo’s machine-learning, proprietary algorithm dynamically calculates ETAs allowing shippers to quickly anticipate problems, proactively alert end-customers,…",il y a 30+ jours
84,Research Internship Python auto-encoder - F/M,My Script,Nantes (44),"You have a knowledge of machine learning methods and neural networks.
You have a knowledge of the Python programming language and a neural network learning…",il y a 30+ jours
85,POST DOC : Ethics of AI in federated learning F/H,Orange,Valbonne (06),"You have very good knowledge of AI model development and particularly in federated learning / deep learning, edge intelligence.",il y a 30+ jours
86,Junior Data Scientist H/F - Emissions (6-month internship),Kayrros,Paris 9e (75),"Design, implement, and test machine learning algorithms.
Your role inside Kayrros’ Emissions team will be to leverage Computer Vision, Machine Learning & Signal…",il y a 10 jours
87,Self-Supervised Interactive Segmentation H/F,CEA - Commissariat à l'Energie Atomique,Palaiseau (91),Fundamental research in the physical sciences and life sciences.,il y a 14 jours
88,6-months Internship: Security for Distributed Public Procure...,SAP,Mougins (06),"This internship is based in the SAP Labs France Research Lab, in Sophia-Antipolis.
SAP’s vision to secure business is built on 3 ideals: Zero-Vulnerability, to…",il y a 11 jours
89,Research internship cursive writing synthesis (Python) - F/M,My Script,Nantes (44),"You have a knowledge of machine learning methods and neural networks.
You have a knowledge of the Python programming language and a neural network learning…",il y a 28 jours
90,Analysis of impact of compression on multilingual pretrained...,NAVER LABS Europe,Grenoble (38),"Knowledge of latest developments in statistical and deep learning.
However a phenomenon called “curse of multilinguality” has been observed ([5],[6]).",il y a 17 jours
91,Human Resources Internship,DELAIR TECH,Labège (31),"Management formation, you are looking for a 5 to 6 months internship in a dynamic environment.
Customers in industries such as utilities, construction,…",il y a 30+ jours
92,Stage - Data scientist / Textmining (F/H),Orange France,Rennes (35),"Lors de la prise en charge des sollicitations client en SAV concernant la ligne Internet, des interventions terrain, parfois jusqu’au domicile de nos clients,…",il y a 20 jours
93,Stage - Chercheur en IA et recherches opérationnelles/optimi...,Orange,Châtillon (92),"Un premier use case pourra être lié aux algorithmes d’allocation de ressources pour servir des demandes ayant des exigences variées, en termes de sécurité …",il y a 21 jours
94,SELF-SUPERVISED INTERACTIVE SEGMENTATION H/F,CEA,Palaiseau (91),"Position description Category Mathematics, information, scientific, software Contract Internship Job title Self-Supervised Interactive Segmentation H/F…",il y a 13 jours
95,RME (Reliability Maintenance Engineering) Project Management...,Amazon France Logistique SAS,Senlis (60),"You are able to demonstrate curiosity and pro-activity, which will allow you to gain greater autonomy in the course of the internship and make the most of your…",il y a 30+ jours
96,Intern - Qualcomm Research- Wireless R&D - France (Lannion o...,Qualcomm Communications SARL,Lannion (22),"Machine learning and deep learning theory, hands-on experience with traditional ML and DNN design, and their applications to wireless.",il y a 30+ jours
97,Ethnographer/Ergonomics/UX Designer - Internship,NAVER LABS Europe,Grenoble (38),"S/he will work in autonomy, with the support of other designers and computer scientists from the group.
S/he will craft new experiences with collaborative…",il y a 30+ jours
98,Intern Data Scientist / Software Engineer - Spanish Speaking...,Shift Technology,Paris (75),"You have advanced technical skills in Applied Mathematics, preferably in machine learning and/or operations research;
Create the associated mathematical models;",il y a 30+ jours
99,Research Internship: Applications for RAN Management on O-RA...,NOKIA,Nozay (91),"Machine learning and Artificial Intelligence.
The team of Network Systems and Security Research group of Bell Labs, located in Paris-Saclay, welcomes each year…",il y a 21 jours
100,Internship opportunities in Software Quality Engineering & T...,Amadeus,Nice (06),"As part of a multicultural English-speaking team, you will contribute to programming software that facilitates journeys for millions of travellers every year.",il y a 29 jours
101,Stage - Data Analyst/Data Engineer F/H,Orange,Meylan (38),"Vous avez des connaissances en base de données et/ou environnements d’analyse de données (Elastic, Kibana, Grafana, …) et une formation sur les algorithmes et…",il y a 11 jours
102,"Research Intern, Masters (FAIR) - AI",Meta,Paris (75),"Publications or experience in fields related to in machine learning, AI, computer vision, natural language processing, computational neuroscience, optimisation,…",il y a 30+ jours
103,Apprenticeship - Digital Office Project Officer (M/W),CMACGM,Marseille (13),"Previous internship(s) in at least one of the following digital expertise (AI/Machine Learning, Blockchain, IoT, Digital channels & ecommerce, robotic process…",il y a 30+ jours
104,Doctorant F/H Using Data Science to derive stochastic models...,Inria,Talence (33),"Advanced knowledge in statistics (such as bayesian optimization, active learning).
Variability in application resource needs seems to come from different…",il y a 6 jours
105,Stage - Big Data Améliorer la qualité des données grâce à la...,Orange France,Guyancourt (78),Les développements seront réalisés sur Google Cloud Platform et une étude devra être réalisée sur une portabilité du travail sur un environnement Hadoop On…,il y a 23 jours
106,Stage - Data Scientist / segmentation base client (F/H),Orange France,Rennes (35),"Appréhenderez l’écosystème data d’Orange France, les data techniques permettant de refléter le niveau de consommation data d’un foyer.",il y a 20 jours
107,Stage - Data Scientist (F/H),Orange,Lannion (22),Vous avez une connaissance des technologies Big Data (Hadoop et Spark) et des différents familles d'algorithmes d'apprentissage automatique (machine learning).,il y a 21 jours
108,Research Scientist Intern (quality evaluation for immersive...,Tencent,Paris (75)•Télétravail,"Start date between January and April 2021, 6 months internship.
Evaluate some metrics under practical real-life test conditions.",il y a 30+ jours
109,Stage d’automatisation des log générés par les produits déve...,Continental AG,Rambouillet (78),"Cette entreprise technologique fondée en 1871 propose des solutions sûres, efficaces, intelligentes et abordables pour les véhicules, les machines, la…",Publiée à l'instant
110,Workplace Health & Safety intern H/F,Amazon France Logistique SAS,Nantes (44),"Support safety process systems through participation in planned inspections of buildings, machines and jobs for accident prevention.",il y a 30+ jours
111,Responsable Laboratoire Chimie H/F,Sanofi,Sisteron (04),"Have a strong interest in using new technologies and techniques such as Design of experiment (DOE), modelling and machine learning.",il y a 30+ jours
112,Full Stack Software Engineer - 6-month Internship,Akur8,Paris (75),"Helping optimize the run-time of machine learning models that call databases with dozens of millions of records,.
A good knowledge of Java and/or Angular 2+,.",il y a 30+ jours
113,Customer Success Manager Belgium (Paris or Remote),PriceHubble,Paris (75)•Télétravail,"Prior experience in CSM or account manager position (inc. internship).
You’re in charge of your own customer portfolio, taking care of the entire customer…",il y a 10 jours
114,Stage - Automatisation et tests sécurité pour les devices Or...,Orange,Cesson-Sévigné (35),La montée en puissance des méthodes de type Dev/ops augmentent le rythme des mises à jour des logiciels des équipements Orange.,il y a 17 jours
115,Internship F/M Using Data Science to derive stochastic model...,Inria,Talence (33),"Advanced knowledge in statistics (such as bayesian optimization, active learning).
Variability in application resource needs seems to come from different…",il y a 6 jours
116,Stage - Ingénieur en développement / Wifi et Sécurité (F/H),Orange,Cesson-Sévigné (35),"Documenter et partager les résultats obtenus vers nos entités techniques ou marketing.
Vous préparez une formation niveau Bac+5 en réseau télécom/embarqué …",il y a 17 jours
117,"[LETTRIA] Alternance - Graphic Designer, UI Designer H/F",Sia Partners,Paris 8e (75),"From text mining, to knowledge graph or Machine Learning, Lettria’s platform is.
Data-science and software engineering.",il y a 30+ jours
118,Stage - Recherche en IA pour l'analyse de la parole F/H,Orange,Cesson-Sévigné (35),"Des compétences dans l'analyse de la parole, et le deep learning appliqué à l'audio sont un plus.
Vous recherchez un stage de fin d'études pour obtenir votre…",il y a 18 jours
119,Internship - Data Engineer,Numberly,Paris 9e (75),"Numberly helps its customers collect, analyze and leverage their data across all marketing channels.
Our daily missions consist of processing thousands of…",il y a 30+ jours
120,Professional Services Consultant Intern,AWS EMEA SARL (France Branch),Courbevoie (92),Amazon internships are full-time (38 hours/week) and normally run for 8-12 consecutive weeks with timelines dependent on country locations.,il y a 30+ jours
121,Stage - Écriture d'algorithme d'IA/ML en embarqué F/H,Orange,Valbonne (06),"Compétences et qualités personnelles recherchées : Connaissances en Deep learning et machine learning.
Dans le cadre d’un projet d’anticipation explorant l’IA…",il y a 30+ jours
122,Stage- Impact écologique de la fréquentation touristique à p...,Orange Business Services,Belfort (90),"Avec Flux Vision, Orange développe une solution innovante permettant de produire des indicateurs statistiques de présence et de mobilité des personnes sur le…",il y a 12 jours
123,Internship / Stage - Unity AR Content Developer,Seven Sensing Software,Paris (75),"6-month minimum internship starting as soon as possible.
In our activities, we handle data ranging from time-series up to 3D scenes to deliver solutions in…",il y a 11 jours
124,Internship Software Development Engineer (DevOps Junior),SOPHiA GENETICS,Bidart (64),"Sophia est le leader du Data Driven Medicine depuis plus de 10 ans maintenant, par le biais d’analyses de séquençages ADN, SOPHIA GENETICS est en capacité avec…",il y a 30+ jours
125,D-BAND BEAM ALIGNMENT ALGORITHMS H/F,CEA,Grenoble (38),"For these tasks, the student will be able to rely on experts in the LSHD laboratory in each field of study (algorithm design,machine learning and implementation…",il y a 30+ jours
126,D-band beam alignment algorithms H/F,CEA - Commissariat à l'Energie Atomique,Grenoble (38),"For these tasks, the student will be able to rely on experts in the LSHD laboratory in each field of study (algorithm design,machine learning and implementation…",il y a 30+ jours
127,Product Data Scientist,Akur8,Paris (75),"A small degree of previous coding experience in order to facilitate interactions with our technical teams (internships, personal/school projects, etc), as the…",il y a 30+ jours
128,Internship Java/Cloud Development Engineer (Workflow System),SOPHiA GENETICS,Bidart (64),"Sophia est le leader du Data Driven Medicine depuis plus de 10 ans maintenant, par le biais d’analyses de séquençages ADN, SOPHIA GENETICS est en capacité avec…",il y a 25 jours
129,Stage ingénieur : Data-mining and AI techniques for automoti...,NXP Semiconductors,Toulouse (31),"Connaissances en data-mining, machine learning et IA est obligatoire (connaissance des réseaux LSTM, MLP est un plus).",il y a 30+ jours
130,Stage - Ingénieur Logiciel F/H,Orange,Cesson-Sévigné (35),Actuellement le besoin est back-end mais quelques imprévus peuvent survenir et donc une capacité d'adaptation est attendue.,il y a 27 jours
131,Stage - Ingénieur Datascientist - Grenoble - Bac +5 F/H,Schneider Electric,Eybens (38),"Create and work on machine learning and dataviz with a Proof of concept.
Créer et travailler sur le « machine learning » et une « dataviz » avec un projet pilot…",il y a 3 jours
132,Intern - UX Designer for an Active Defense solution M/F/D,SAP,Mougins (06),"This internship is based in the SAP Labs France Research Lab, in Sophia-Antipolis.
The goal of the internship is to define the UX for the persons interacting…",il y a 15 jours
133,Business Development Representative,PriceHubble,Paris (75),"We’re looking for a dynamic and highly motivated Business Development Representative, with a focus on inbound lead management and growth, who will contribute to…",il y a 30+ jours
134,Stage Ingénieur : Approches statistiques avancées pour l’éla...,NXP Semiconductors,Toulouse (31),"After a learning phase on product features, design strategies, test problematics and the accuracy contributors, the trainee will focus on:",il y a 30+ jours
135,Stage - Ingénieur d'études et développement cloud (GCP) – DA...,Orange France,Mougins (06),"Analyser et comparer différentes solutions pour répondre à un besoin client identifié.
Concevoir et développer un prototype basé sur l’IA/Machine Learning.",il y a 25 jours
136,Stage - Architecte technique SLA H/F,Orange,Cesson-Sévigné (35),"Vous effectuez le portage des outils d'analyses de donnés et de risques sur une infrastructure Cloud.
Vous développez une IHM web dialoguant avec les outils d…",il y a 20 jours
